name,introduction,itinerary,destination_location
Elephants Sanctuary / Karen Longneck Village / Zip Lining,"Learn all about the cruelty-free lives of elephants and hiking together in the jungle. Also visit Karen hill tribe village. Try Mountain Zip lining in the forest, experienced a real natural life in awesome way!","09:00 - Meet up at our meeting point- Airport (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> International Airport)- Bus Terminal (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> Provincial Arcade Transport Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area)- Railway Station (<a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> Railway Station) / 10:30 - Hiking with elephants / participate in bathing the elephants / 12:00 - Local lunch / 12:45 - go to Karen long neck & hill tribe village / 13:15 - Karen long neck & hill tribe village, Learn more about the Hill tribe Cultures / 14:15 - go to Zipline / 14:45 - Zip lining in to the jungle / 16:30 - go back to Hotel / 17:30 - End of the trip",Chiang Mai
A Night Enchanted in Hat Yai and local dinner with local expert,Admiring the​ beautiful​ view 360° of​ Hat Yai​ city​​ and​ tasting a delicious​ unique steamed bun only in Hat Yai ​before shopping​ at​ night market.,"15:30 - Meet up at hotel lobby (in Hat Yai area) / 16:00 - Going​ to​ Hat Yai Municipal Park to​ take a​ cable​ car​ and​ see​ the​​ beautiful​ view​ of ​Hat Yai. / 17:00 - Enjoy eating​ several​ ​delicious local food in Hat Yai, especially​ Salapao or steamed bun​ ! / 18:30 - Going​ to​ ​Greenway and​ Asian​ night ​bazaar​  market​ for​ shopping​ ​at​ the​ night. / 20:00 - Drop​ you​ off at your hotel​.",Hat Yai
Historic Park of Ayutthaya Tour & Floating Market (Day Trip from Bangkok),"Visit the old city of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> we will be showing you around this famous ancient city and get you to experience what Thai culture and also its people once were like.","09:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:00 - Arrive in <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. Visit the Historical Park of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. The first visit is to Wat Yai Chaimongkol temple. / 11:00 - Visit the Ayodhaya floating market. Walk around and buy some souvenirs here. / 13:00 - The second visit is to Wat Mahathat, the compound of the old temple with the picturesque head of the Buddha in the tree. / 15:00 - Head back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Take a rest with relax therapy songs, while we drive back to BKK. Reach to your place around 16.30 PM / 16:30 - End of the trip.",Ayutthaya
"Vintage Night: Explore Ratchada Train Night Market ","Rod Fai Night Market or Train Market is one of the most famous night markets in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. You can enjoy local street foods, handmade products and many vintage items here! Come with me and my local friend. This trip will leave you with a nice memory","18:00 - Meet up at MRT Station (Thailand Cultural Centre) / 18:30 - We're here! Don't worry about the language barrier, as I will help you with everything! This is the time to enjoy various kinds of food and drinks at the market. Let's dig in! / 20:00 - I hope you're full already, so let's start shopping for local, vintage, and fashionable products! This market is full of things you can imagine of, but at cheap prices! / 22:00 - Time to send you off to the MRT Station (Thailand Cultural Centre Station) I hope you enjoyed your time!",Bangkok
One day trip with Zipline and  the best Thai Massage in town,"Have fun at Zipline camp, and thai food buffelt lunch, and enjoy best Thai Massage in town.","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:30 - Having fun all activity at Zipline+Buffet Thai lunch / 12:00 - Back to old town / 13:30 - Hand drip coffee or tea at local cafe shop / 15:00 - Enjoy the best Massage for 2 hours at Fah Lanna Massage / 18:00 - Return back to your hotel",Chiang Mai
Bangsaen Beach Tour and Seafood Market!,"Go to the beach, have a chillax time with a beautiful beach! Eat seafoods and take some fresh ingredients at seafood market back to your place.","08:30 - Meet up at BTS Station (Bang Na, Bearing) / 10:00 - Arrive at Bangsaen Beach. Enjoy eating seafood and beach activities! / 15:00 - Visit a local seafood market. There are many kind of fresh seafood there such as, fish, shell, crab , shrimp  / 16:30 - Heading back to our meeting point",Chonburi
Golf Outside Bangkok at Ayutthaya!,"Thailand is also known as a golf paradise. We will play a round of golf at the popular golf course near <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. After which, I will show you the local dishes near the golf course. You will be back in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> in no time for your evening party!","07:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 08:30 - Arrive at the golf course at <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>! Please prepare golfing outfits, and change! (No t-shirts, bring at least sports shoes, and golf gloves). You may rent them at the club house. Price excludes green fee THB 2,000, caddie THB 500, and golf cart THB700 / 12:00 - Time for some lunch! There is an abundance of local eateries waiting for you to come explore! Trust me, Thai food will never let you down, anywhere! / 13:00 - More golf courses to explore! Let's hit some golf balls! / 15:00 - This is a good time to drive back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>! / 17:00 - Arrive in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. I hope you've had a good day of golf!",Ayutthaya
"The Perfect Package: Ayutthaya Island Day Trip & Long-Tail Boat Ride! ","Let's go back in time together for a comprehensive overview of the history and past glories of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>! Plus, a long-tail boat tour to view the fabulous ancient ruins is included! Come with me to this one-of a-kind city!","08:00 - Meet up at our meeting point- BTS Station (Any Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 08:00 - Heading to <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> will take approximately 2 hours by using the express way. In this way, we can enjoy the views along the way with our driver, and me, your local guide! / 10:00 - First place to visit: Wat Yai Chaimongkhon Temple. This is the biggest pagoda in the whole of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. Also known as “The Monastery of Auspicious Victory”, it is where we will make merit together! / 11:00 - The next place we'll go to is Wat Ratchaburana Temple. This is where lies the tomb where tremendous treasures were believed to be stored. We will climb down inside the monument as well! /  - Tourists from around the world also come to Wat Maha That Temple to see Buddha's head, entwined in the roots of a Bodhi tree. The ruins was where the kingdom's Supreme King lived.  There is also a huge pagoda which stores the relics of the Lord Buddha. / 12:30 - Let's have lunch (at your own expense) at the riverside restaurant (open air and air-conditioned) with a combination of Thai food and drinks. There is also clean toilet available :) / 13:30 - Long-tail boat ride time! Take our private local long-tail boat along the 3 rivers that surround the <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> Capital Island. We will stop to feed fish to make merit in front of the temple's riverbank. Then, we'll drive though the famous ancient ruins. / 14:00 - Wat Chaiwattanaram Temple is our next place to visit. This temple follows the concepts of the Khmer mountain temples of Angkor to symbolize the universe in Buddhist and Hindu cosmology. These ruins are perfect for some photo opportunities! / 15:00 - Time for some walk! We'll stroll around the biggest reclining Buddha in <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. Let's walk together to the Smiling Buddha and the Ruins Tower! /  - Local Tuk-Tuk ride in <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>! Let's try riding in them, and compare the difference from <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> Tuk Tuks to the ones here! It's still as fun, if not more fun, though :p / 16:00 - The last place we'll visit is Wat Phra Sri Sanphet Temple. Here consists the three large bell shaped stupas (or chedis) standing on an elevated platform. It was a Royal Temple without resident monks in the Grand Palace Area. Feel free to take pictures! / 17:00 - Time to go back <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>! Around 16:00 to 17:00 depending on how long we spend time in the city. The way back should also take around 2 hours. / 18:00 - Arrive to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> with safely ;)",Ayutthaya
Eco-Friendly Elephant Sanctuary (Half Day),"We are an eco-friendly and ethical - strictly no-riding / no use of hooks elephant sanctuary. Our sanctuary is  located 40 minutes North of <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> in the beautiful Mountainous hillsides. Come join us!","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:45 - Arrive at <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> Mountain Sanctuary and get changed into traditional lanna clothing getting ready to care the elephants. / 10:15 - Learn about our elephants, elephant care and <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> mountain facility. / 10:45 - Meet, feed and play with elephants in the jungle forest hills. / 11:00 - Walk with elephants through the forest. / 11:30 - Enjoy a mud bath, brush and play with the elephants in the mud bath surrounded by mountain views. / 12:00 - Fresh up, change back into your clothes. Enjoy Thai traditional lunch and seasonal fruits prepared by locals / 13:00 - Return to your hotel. /  - We also have a half day starting in the afternoon. Please advise me if you would like it.",Chiang Mai
[Joined Tour] Thai Cooking Class in Bangkok,"You choose 5 dishes + make a Thai curry paste, coconut milk, and sticky rice.  We meet you at BTS Bang Chak and take you to a Thai market.  Our professional Thai culinary school is fully air conditioned.  No Heat-No Sweat-No Bugs--our guarantee.","08:45 - Meet up at BTS Station (Bang Chak) / 12:45 - End of class (4 hours) / 13:00 - Meet at BTS Bang Chak, Exit 5 at the end of the elevated walkway / 17:00 - End of class (4 hours)",Bangkok
"Underwater caves half day tour ","Meet the amazing cave once used to be the ocean. Track the trace of sea shell and coral aged more than 20000 years ago in this cave, besides  you will see with 1000 year skeleton of a hermit","09:00 - Meet up at our meeting point- Railway Station (Pak Chong Railway Station)- Hotel lobby (in Nakhon Ratchasima area) / 10:30 - Arrive at Wat tam kaew salapatnuke then we will explore in this ancient underwater cave where you can't miss the miracle from nature as it is fantastic with the cave exists more than two million years here you will be exciting with coral fossil, seashell / 12:00 - Lunch time let us enjoy with local thai food. / 13:00 - Let us enjoy with pleasure from shopping fresh fruits from famous farms inside the market and i highly recommend Pet pak chong custard apple fresh fruits from famous farms in this district that has its own specific flavor you never miss.. / 14:00 - end of the trip and back to the hotel",Nakhon Ratchasima
Boat & Tuk Tuk Tour around Rattanakosin Island,"A Rattanakosin Island area where's the heart of <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> I will show you a beautiful temple except ​the famous Grand Palace (Maybe you visit already) and also we will see the nice attractions outside the area.","09:00 - Meet up at our meeting point- BTS Station (Any Station)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area)- MRT Station (Any Station) / 10:00 - lets take a boat to Wat Arun Rajwararam that is beautiful I think you will take photo a lot ^ ^ / 11:00 - take a boat to Visit Wat Phra Chetuphon Vimolmangklaram (Wat Pho) This Temple you will see the big reclining Buddha.It was listed as UNESCO’s Memory of the World (MOW) as a documentary heritage for Asia and Pacific Region / 12:00 - we have lunch in Wang Lang (local market) that you will see local market, Thai lifestyle / 13:30 - Let's Take Tuk Tuk Golden Mountain temple and than walk up a bit to top of Mountain. ^ ^Here you can see Rattanakosin Island area on top That sooo beautiful. you will love this place / 15:00 - Time to go home",Bangkok
"From the Present to the Past: Tour of Ayutthaya and the Ayothaya Floating Market! ","Visit this historical city of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>, the former capital of Thailand! This is where you can see the famous ancient capital city and the floating market, experience Thai culture, and taste authentic Thai food. I'm sure you'll love it!","09:00 - Meet up at our meeting point- BTS Station (Bang Wa, Krung Thon Buri, Mo Chit, Phaya Thai, Pho Nimit, Punnawithi, Ratchadamri, Sala Daeng, Siam, Victory Monument, Wongwian Yai)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 10:30 - First, let's visit Wat Phanan Choeng Temple!The temple was built in 1324 even before <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> was founded! Let's admire and appreciate the gigantic gilded Buddha image. / 11:15 - Let's move on to Wat Yai Chai Mongkhon Temple.The temple was first built by King U-Thong (<a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>'s first king) in 1357. Wat Yai Chai Mongkhon Temple is a very photogenic spot with enormous pagodas and rows of Buddha images! Let's snap some pictures! / 12:00 - Then, we'll visit Wat Mahathat Temple. Apart from the iconic Buddha's head in the tree roots, the ancient ruin is stunning with Khmer-style stupas. These are examples of the rich culture of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>! / 13:00 - Time for some lunch! / 14:00 - Spoil yourself at the Ayothaya Floating Market and walk around to shop for some authentic Thai souvenirs! / 15:00 - Let's go to the next temple that is Wat Pra Sri San Phet Temple. It is located on the island city in <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>’s World Heritage Park. Witness the 3 majestic stupas, which was the main royal temple of the Kingdom of <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>. / 16:30 - The trip ends here! Time to drop you off at the meeting point! I hope you've had a nice day!",Ayutthaya
"Experience the Original Tha Kha Floating Market & Maeklong Railway Market! ","In this trip, I will take you to <a class=""auto-highlight"" href=""https://www.takemetour.com/to/Samut%20Songkhram"" target=""_blank"">Samut Songkhram</a> to visit the Tha Kha Floating Market, Maeklong ""Umbrella"" Railway Market and a Buddhist temple! Here you can do some shopping and try local Thai food!","07:00 - Meet up at our meeting point- Airport (Suvarnabhumi Airport)- BTS Station (Bang Na)- Hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:00 - Visit Tha Kha Floating Market, a traditional floating market where you'll witness the local way of life. Then, take a boat along the canal to visit a coconut farm! You can experience traditional sugar-making, and see how the locals live here! / 10:00 - Let's try some food in the floating market! There are so many types of food to choose from! Don't know what to try? Don't worry! I'm here to help! / 11:30 - Let's go to the Maeklong ""Umbrella"" Railway Market, where fresh meat, vegetables, and fruits are sold right by the railway! Shoppers here are advised to walk 1 meter away from railway, as the train will pass through the market at any moment! / 12:15 - Visit Wat Bang Kung Temple, where it was built during the <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>-era along the Mae Klong River just north of <a class=""auto-highlight"" href=""/article/amphawa-floating-market"" target=""_blank"">Amphawa</a>! The temple itself has been encased by the roots and branches of banyan trees. You can take some beautiful pictures here! / 12:30 - Visit Wat Bang Khae Noi, which has quite a breathtaking view as the interior walls and the ceiling of the main ordination hall have intricate teak wood carvings depicting the life and teachings of the Lord Buddha. / 13:00 - Let's have a Thai-style lunch! / 13:30 - Time to return to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>! / 15:00 - We end the trip by arriving at your hotel. I hope you enjoyed my trip!",Samut Songkhram
"[Joined Tour] Discover Ancient Siamese by Bike ","Enjoy biking along the ancient capital city of Thailand ""<a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>"". Ride through magnificent nature and discover ancient temples and historic parks. Enjoy flavors of authentic food submerge yourself in the heart of Thailand!","07:00 - Meet up at our meeting point- MRT Station (Hua Lamphong)- Railway Station (Hua Lamphong Railway Station) / 07:30 - Taking Train from Hua Lamphong station to <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> / 09:30 - Arrival at <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a>, the ancient capital city of Thailand / 10:00 - meeting point at local coffee shop. Set up the bike and briefing for the tour. / 10:30 - Start riding to Wat Mahathat. / 10:45 - visiting the famous temple ""Wat Mahathat"" for the Buddha head covered by Bhodi tree. / 11:30 - After that take some rest! getting ready to ride along the Chaopraya river  to visit Wat Chaiwatthanaram or Mini Angkor Wat / 11:45 - Visiting Wat Chaiwatthanaram. / 12:15 - Start riding to Muslim Community along the back road. Passing by Local Temple and Primary schools. Ride through magnificent nature and discover ancient community. / 13:15 - Having lunch at the local restaurant. Enjoy flavors of authentic food! / 14:15 - Keep riding on the back road again, riding pass through the rice field and enjoying the beautiful scenic view. / 16:00 - End up at the Ferry. Taking the private van heading back to <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>!",Ayutthaya
"Eco Trekking Tour in Pranburi and Sam Roi Yot with a Local! ","This trip is for travelers who have an adventurous spirit, are looking to see a good eco-system and a relaxing time in a splendid place, but also want to experience the diversity of Prachuap Khiri Khan culture! If this trip is for you, join me!","09:30 - Meet up at our meeting point- Hotel lobby (in Prachuap Khiri Khan area)- Railway Station (Hua Hin Railway Station, Prachuap Khiri Khan Railway Station, Hua Hin Railway Station) / 10:30 - Let's walk through the Mangrove Forest Nature Trail on a boardwalk through, you guessed it, the Pranburi Eco-System Park! / 12:00 - Afterwards, we'll be having lunch by tasting some of Pranburi's most famous dishes! / 13:00 - After lunch, let's go to Khao Sam Roi Yot National Park! The cave we'll be visiting is actually two sinkholes that collapsed, creating a sunlit cavern, in to Phraya Nakhon Cave! We'll also visit the pavilion, the symbol of Prachuap Khiri Khan! / 15:30 - We are at the end of the trip! Thank you for joining me, and I hope you enjoyed the time!",Prachuap Khiri Khan
Discover the Famous Damnoen Saduak Floating Market On a One-Day Tour,"Have you ever seen a traditional Thai house in the countryside before? With only 100 km southwest of <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> in <a class=""auto-highlight"" href=""/to/Ratchaburi"" target=""_blank"">Ratchaburi</a> province, let's check out <a class=""auto-highlight"" href=""/article/damnoen-saduak"" target=""_blank"">Damnoen Saduak Floating market</a>, one of the most famous floating markets.","07:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:00 - Arrive at the floating market and take a long-tailed boat along the canal to observe the local liveliness of the market. See the traditional Thai home style, buy fruits or food in the boat, and pay a visit a local temple. / 10:30 - Ride a long-tail boat in the natural canal to see the nature and local living.  / 11:00 - See and ride elephants! / 13:00 - Return to your hotel",Ratchaburi
Hug and Care for the Elephants & Enjoy a Magnificent Waterfall!,"Learn to respect these magnificent, intelligent animals. Let's relate to them and see how they relate to you! Bathe and play with them in their natural environment. There's NO RIDING OR TAKING ADVANTAGE of them. Then, let's relax at a waterfall!","08:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 10:30 - We arrive at the camp and we'll start on a briefing session on trekking (10 mins)! / 11:00 - Play with, bathe, and take photos with the lovely elephants! Then, let's take them into the jungle and give them food! / 12:00 - Time to enjoy lunch and relax in the natural sceneries! Time to take your chance! / 13:00 - Take elephants to the river for a mud spa! Bathe,  play and enjoy being with them! / 14:30 - Let's take a walk to a waterfall and enjoy a swim there in the blazing hot day! / 16:00 - Visit souvenir shop and return to hotel! The trip ends here! I hope you enjoyed the trip!",Chiang Mai
Be a Volunteer English Teacher for one day,"Become a part of us to teach an English to Karen Hill Tribe children and exchange to culture of ours. Learn Thai and teach English with us, together for one day.","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 10:00 - Go to school, then start the class with children.  Teach an English while also learn Thai with us. / 12:00 - Have local lunch together in an outdoor canteen. / 13:00 - Go to swimming at the crystal clear river, located nearby to the school. / 14:30 - Say goodbye to children and return to your hotel",Chiang Mai
"Bangkok Temple & Floating Market Tour ","I would like to bring you 4 place :1.Wat Arun Temple, very famous in Thailand 2.Wat Rakang Temple, very beautiful for the place3.Wat Chao-Arm Temple history for temple.4.Talingchan Floating Market","08:00 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a> area) / 09:00 - Head out to Wat Arun Temple was show in French maps during the reign of King Narai (1656-1688) / 10:00 - Wat Rakhang Khositaram Woramahawiharn, is a royal temple of the second grade of Woramahawiharn, which was built during the <a class=""auto-highlight"" href=""/to/Ayutthaya"" target=""_blank"">Ayutthaya</a> Period. Its original name was Wat Bangwa Yai. In 1769 (B.E. 2312) the temple was raised to be a royal temple by King Taksi / 12:00 - Take a break at floating market which have a local meal the area so just find very thai culture food at here.and you can seeing by boat aroud local area. it very beautiful for many place . / 16:00 - End of trip",Bangkok
Boxer's Day: Learn the Original Muay Thai with Champion at Lumpinee Boxing Stadium,"I will take you to Lumpinee Boxing Stadium, an original Muay Thai stadium in <a class=""auto-highlight"" href=""/to/Bangkok"" target=""_blank"">Bangkok</a>. Join our famous Muay Thai session with a pro boxer. Want to know how they train? How they live? What does​ it take to become a Muay Thai Champion? Join us.","14:00 - Meet up at BTS Station (Any Station) / 14:30 - Arrive at Lumpinee Boxing Stadium. You'll be given a tour around our Muay Thai camp and meet professional boxers and the like-minded. / 15:00 - Let the training begin! (Optional) - 1,000 THB fee paid directly at the Muay Thai camp. / 16:00 - Session ends. Time to take a shower and change your clothes. / 17:00 - Dinner time. You will get to dine with our boxers! They can tell you all the stories of what being a boxer is like. / 18:00 - Head back to our meeting point and say goodbye.",Bangkok
A quality time at a floating market of Bangkok's green lungs,"Cycle around, breath in the fresh air, and explore the local community of this almost-island district. We will also check out the local floating market, which is lesser-known, and try different Thai foods and sweets here. :9",09:00 - Meet up at BTS Station (Bang Na) / 09:30 - Arrive at Bang Ka Jao district. We will rent a bicycle and bike around the local central park. / 11:00 - Cycle to Bang Nampueng Floating Market / 12:00 - Check out the market and have lunch / 15:30 - Head back to the pier and return the bicycle / 16:00 - Back to our meeting point,Samut Prakan
Sticky waterfall & Elephant Care,"1.Do the most popular activities in Chiangmai in 1 day.2.Save time , save budget but no rush.3.Climbing up on the waterfall that sticky.4.Buffet lunch5.Have a good experience feeding bathing and walking with the elephant.","08:30 - Meet up at hotel lobby (in <a class=""auto-highlight"" href=""/to/Chiang Mai"" target=""_blank"">Chiang Mai</a> area) / 09:45 - We are at Sticky Waterfall. We take a picture and VDO clip @ view point. (If the weather is clear and not too windy,we will take picture and clip by drone.) / 10:00 - Enjoy exploring and climbing the Sticky Waterfall. / 11:00 - Heading to the elephant sanctuary. / 11:30 - Having buffet lunch at elephant sanctuary. You can fill up your energy with big lunch as much as you want. / 13:00 - You will change into clothing thatbwill be provided. Learn how to prepare healthy food for the elephants. Feed and take amazing videos and photographs of the elephants. Bathing and walking with the elephants. / 15:30 - Heading to the hotel. / 17:00 - Arrive the hotel safetly with good experience.",Chiang Mai
Traditional Livelihoods  in Battambang (Half Day: Afternoon),"A  cycling trip into the idyllic countryside of Battambang. Experience local wisdoms right at local homes and market, including rice paper, dried bananas, rice wine, Khmer noodles, fish paste and bamboo rice cakes.","13:30 - Meet up at our meeting point / 14:00 - Stop 1: Rice PaperDonteay village is well known for its unique hand-made products, including its production of rice paper—a fundamental ingredient in Asian cuisine! / 15:00 - Stop 2: Bananas for Bananas!We will visit a veteran villager who has been involved in the dried banana trade for over 20 years! Learn more about this local agricultural activity and the ways it has continuously supported many families of the village. / 15:30 - Stop 3: Rice WineOn our next stop, we will take you to visit a local producer of rice wine. Learn more about the process involved in this local trade, and sample a taste of the sweet and smooth rice wine! / 16:00 - Stop 4: Khmer NoodlesWe will next take you to observe the making of Khmer noodles using a manual wheat pounder—a tool not often seen in urban areas. / 16:30 - Stop 5: Fish Paste MarketUp next, we will bike to the fish paste market—the largest market in Battambang. See and learn more about Cambodian fishery and the local livelihood this industry supports. / 17:00 - Stop 6: Bamboo Rice CakesWe wind down our tour with a visit to the makers of bamboo rice cakes. Find out more about the processes involved in the making of this special countryside delicacy. / 17:30 - Return to the hotel",Battambang
Explore Siem Reap Street Food at Night,"On this cultural and culinary journey, you will be able to explore the local street food and spend the evening taking a leisurely stroll around the night market in an authentic setting.","16:45 - Meet up at hotel lobby (in Siem Reap area) / 17:30 - EXPLORE SIEM REAP DOWNTOWN FOODThe first stop is the local restaurant where you will taste fruits, spring rolls, tofu and BBQ snails. / 18:30 - SIEM REAP STREET FOOD MARKETWe will then go to the night market, where you can try some bugs, fantastic barbecued chicken, whilst enjoying a cold beverage sitting on a mattress alongside the street market. / 19:45 - LOCAL WINE TASTINGAt the end of the tour, we will visit the Sombai Siem Reap Liqueur House where you will learn how Cambodia liqueur is made and visit the infusion room. / 20:30 - Return back to your accommodation and say goodbye to your tour guide.",Siem Reap
"Embark on a One Day Trip in Hat Yai, Songkhla!","Join me, and you'll enjoy your trip in Hat Yai city! You get to go to sights such as Kor-Hong Hill ( By cable car), Beaches, the Sleeping Buddha, the Long bridge, and street arts in the quaint old town!","08:00 - Meet up at our meeting point- Airport (Hat Yai International Airport)- Bus Terminal (Hat Yai Bus Station)- Hotel lobby (in Hat Yai area)- Railway Station (Hat Yai Junction Railway Station) / 09:00 - We are at Hat Yai Municipal Park! Here, you'll get to:- Worship Guan Yin- Worship the Standing Buddha- Take a cable car to see Hat Yai from a  bird's eye view. / 10:30 - Let's go take some photos at the Magic Eye 3D Museum! / 11:30 - Let's have lunch! I'll recommend you some of the best Southern Thai dishes to eat! / 13:00 - After lunch, we'll worship the Sleeping Buddha at Koh Yo! You'll also see the longest bridge in Thailand and the ferry port here! / 14:30 - Let's take some photos at Samila Beach! There are things that you can take cool photos with, such as the mermaid statue and the Nakara statue! / 15:30 - Let's go to the walking street at Songkhla Old town to see some street arts! / 16:30 - Let's go up the Tang Kuan Hill by elevator! Here, you'll get to experience and see the beautiful sea view! / 17:30 - The trip ends here, and it's time to go back to your hotel! Thanks for joining me!",Hat Yai
"Cooking Thai Dessert at Thai Traditional Culture Village on Koh Kret Island ","Take a boat to <a class=""auto-highlight"" href=""/article/koh-kret"" target=""_blank"">Koh Kret</a> island conserving by villagers where you experience the Thai traditional local culture. Exclusive learning how to cook Thai dessert with the local teacher.","13:00 - Meet up at MRT Station (Phra Nang Klao Bridge, Phra Nang Klao Bridge) / 13:30 - Take a boat to the island. / 13:45 - Arrive to <a class=""auto-highlight"" href=""/article/koh-kret"" target=""_blank"">Koh Kret</a> island. / 14:00 - Visit the teacher house (by walking/ride a bicycle)and welcome by free drink water and snack. / 14:15 - Teacher will show you how to use equipments of cooking and ingredients of dessert. / 14:30 - Let's start booking class closely with the teacher. / 16:30 - Class finished / 16:45 - Visit the floating market and try Thai local food. / 17:00 - You have free time to shop or ride bicycle around the island if you need to back, I will send you back to MRT subway.",Bangkok
Let's Relax and Enjoy Eating Fresh Thai Fruits at a Farm in Chonburi!,"Join me on this trip, and you'll get to eat original, fresh Thai fruits at the farm! Enjoy and experience the local style and visit Khao Chi Chan Sculptural Image on the Buddha Mountain (Khao Chi Chan)!","08:30 - Meet up at hotel lobby (in Pattaya area) / 10:00 - We arrive at the Thai Fruits Fresh Farm (Suphattra Farm)! Join with activity and let's enjoy eating all Thai fruits (durian, mangosteen, mango, and many more!) / 12:00 - It's time to have lunch! / 14:30 - Let's go to the next place to go see the Buddha Scupltural Image at Khao Chi Chan Mountain (Buddha Mountain) in Sattahip! / 16:00 - The trip ends here! I will go send you back to your hotel! Thank you for joining, and I hope you enjoyed the time!",Pattaya
